DateOfDeparture,Departure,Arrival,Mean_Temp
2011-09-01,ATL,BOS,28.182264
2011-09-01,ATL,CLT,24.74772
2011-09-01,ATL,DEN,28.21808
2011-09-01,ATL,DFW,33.109096
2011-09-01,ATL,DTW,25.960768
2011-09-01,ATL,EWR,28.963512
2011-09-01,ATL,LAX,26.229032
2011-09-01,ATL,LGA,31.67276
2011-09-01,ATL,MCO,30.201288
2011-09-01,ATL,MIA,24.658064
2011-09-01,ATL,MSP,26.63428
2011-09-01,ATL,ORD,29.607576
2011-09-01,ATL,PHL,28.842632
2011-09-01,ATL,SFO,23.454264
2011-09-01,BOS,ATL,29.036784
2011-09-01,BOS,EWR,27.680712
2011-09-01,BOS,LAX,24.059056
2011-09-01,BOS,LGA,31.317096
2011-09-01,BOS,ORD,30.57252
2011-09-01,BOS,PHL,25.81828
2011-09-01,BOS,SFO,27.202544
2011-09-01,CLT,ATL,27.387192
2011-09-01,CLT,LGA,25.042624
2011-09-01,DEN,ATL,26.754056
2011-09-01,DEN,DFW,29.878448
2011-09-01,DEN,LAS,24.144112
2011-09-01,DEN,LAX,28.743104
2011-09-01,DEN,MSP,29.189736
2011-09-01,DEN,ORD,28.087624
2011-09-01,DEN,PHX,29.064696
2011-09-01,DEN,SEA,28.64352
2011-09-01,DEN,SFO,27.192488
2011-09-01,DFW,ATL,33.767408
2011-09-01,DFW,BOS,23.56524
2011-09-01,DFW,DEN,30.31356
2011-09-01,DFW,LAS,22.662864
2011-09-01,DFW,LAX,28.395496
2011-09-01,DFW,LGA,29.466424
2011-09-01,DFW,ORD,32.435128
2011-09-01,DFW,PHL,25.071472
2011-09-01,DFW,SFO,25.734832
2011-09-01,DTW,ATL,26.327112
2011-09-01,DTW,LGA,24.238744
2011-09-01,DTW,ORD,27.510032
2011-09-01,EWR,ATL,27.299072
2011-09-01,EWR,BOS,26.581384
2011-09-01,EWR,LAX,25.39612
2011-09-01,EWR,MCO,25.731952
2011-09-01,EWR,ORD,29.076944
2011-09-01,EWR,SFO,25.819608
2011-09-01,IAH,LAX,24.056336
2011-09-01,IAH,ORD,29.700232
2011-09-01,JFK,LAS,26.653208
2011-09-01,JFK,LAX,34.17352
2011-09-01,JFK,MCO,23.64056
2011-09-01,JFK,MIA,26.697008
2011-09-01,JFK,SFO,28.472464
2011-09-01,LAS,DEN,28.612032
2011-09-01,LAS,DFW,30.456552
2011-09-01,LAS,JFK,27.607344
2011-09-01,LAS,LAX,28.780648
2011-09-01,LAS,ORD,28.58404
2011-09-01,LAS,SFO,32.196224
2011-09-01,LAX,ATL,28.598616
2011-09-01,LAX,BOS,27.779408
2011-09-01,LAX,DEN,30.90472
2011-09-01,LAX,DFW,31.200256
2011-09-01,LAX,EWR,28.661144
2011-09-01,LAX,IAH,26.428592
2011-09-01,LAX,JFK,37.8592
2011-09-01,LAX,LAS,30.957832
2011-09-01,LAX,ORD,32.249304
2011-09-01,LAX,SEA,28.490424
2011-09-01,LAX,SFO,31.377808
2011-09-01,LGA,ATL,32.346784
2011-09-01,LGA,BOS,34.467736
2011-09-01,LGA,CLT,26.76196
2011-09-01,LGA,DFW,25.113296
2011-09-01,LGA,DTW,27.614744
2011-09-01,LGA,MIA,23.819096
2011-09-01,LGA,ORD,35.885368
2011-09-01,MCO,ATL,29.55092
2011-09-01,MCO,EWR,25.157504
2011-09-01,MCO,PHL,23.739
2011-09-01,MIA,ATL,26.550152
2011-09-01,MIA,JFK,24.932904
2011-09-01,MIA,LGA,23.846952
2011-09-01,MSP,ATL,28.99836
2011-09-01,MSP,DEN,26.38436
2011-09-01,MSP,ORD,31.876064
2011-09-01,ORD,ATL,28.944824
2011-09-01,ORD,BOS,32.684752
2011-09-01,ORD,DEN,28.610312
2011-09-01,ORD,DFW,33.997592
