DateOfDeparture,Departure,Fog-d,Rain-d,Hail-d,Thunder-d,Snow-d
2011-09-01,ATL,0,0,0,0,0
2011-09-02,ATL,0,0,0,0,0
2011-09-03,ATL,0,0,0,0,0
2011-09-04,ATL,0,1,0,0,0
2011-09-05,ATL,0,1,0,1,0
2011-09-06,ATL,0,1,0,0,0
2011-09-07,ATL,0,0,0,0,0
2011-09-08,ATL,0,0,0,0,0
2011-09-09,ATL,0,0,0,0,0
2011-09-10,ATL,0,0,0,0,0
2011-09-11,ATL,0,0,0,0,0
2011-09-12,ATL,0,0,0,0,0
2011-09-13,ATL,0,0,0,0,0
2011-09-14,ATL,0,0,0,0,0
2011-09-15,ATL,0,0,0,0,0
2011-09-16,ATL,0,0,0,0,0
2011-09-17,ATL,0,0,0,0,0
2011-09-18,ATL,0,0,0,0,0
2011-09-19,ATL,0,0,0,0,0
2011-09-20,ATL,0,1,0,0,0
2011-09-21,ATL,0,1,0,0,0
2011-09-22,ATL,0,1,0,0,0
2011-09-23,ATL,0,1,0,1,0
2011-09-24,ATL,0,0,0,0,0
2011-09-25,ATL,0,0,0,0,0
2011-09-26,ATL,0,1,0,0,0
2011-09-27,ATL,0,0,0,0,0
2011-09-28,ATL,0,0,0,0,0
2011-09-29,ATL,0,0,0,0,0
2011-09-30,ATL,0,0,0,0,0
2011-10-01,ATL,0,0,0,0,0
2011-10-02,ATL,0,0,0,0,0
2011-10-03,ATL,0,0,0,0,0
2011-10-04,ATL,0,0,0,0,0
2011-10-05,ATL,0,0,0,0,0
2011-10-06,ATL,0,0,0,0,0
2011-10-07,ATL,0,0,0,0,0
2011-10-08,ATL,0,0,0,0,0
2011-10-09,ATL,0,0,0,0,0
2011-10-10,ATL,0,1,0,0,0
2011-10-11,ATL,0,1,0,0,0
2011-10-12,ATL,0,0,0,0,0
2011-10-13,ATL,0,1,0,1,0
2011-10-14,ATL,0,0,0,0,0
2011-10-15,ATL,0,0,0,0,0
2011-10-16,ATL,0,0,0,0,0
2011-10-17,ATL,0,0,0,0,0
2011-10-18,ATL,0,1,0,0,0
2011-10-19,ATL,0,1,0,0,0
2011-10-20,ATL,0,0,0,0,0
2011-10-21,ATL,0,0,0,0,0
2011-10-22,ATL,0,0,0,0,0
2011-10-23,ATL,0,0,0,0,0
2011-10-24,ATL,0,1,0,0,0
2011-10-25,ATL,0,0,0,0,0
2011-10-26,ATL,0,0,0,0,0
2011-10-27,ATL,0,0,0,0,0
2011-10-28,ATL,0,1,0,0,0
2011-10-29,ATL,0,1,0,0,0
2011-10-30,ATL,0,0,0,0,0
2011-10-31,ATL,0,0,0,0,0
2011-11-01,ATL,0,0,0,0,0
2011-11-02,ATL,0,0,0,0,0
2011-11-03,ATL,0,1,0,0,0
2011-11-04,ATL,0,0,0,0,0
2011-11-05,ATL,0,0,0,0,0
2011-11-06,ATL,0,0,0,0,0
2011-11-07,ATL,0,0,0,0,0
2011-11-08,ATL,0,0,0,0,0
2011-11-09,ATL,0,1,0,0,0
2011-11-10,ATL,0,1,0,0,0
2011-11-11,ATL,0,0,0,0,0
2011-11-12,ATL,0,0,0,0,0
2011-11-13,ATL,0,0,0,0,0
2011-11-14,ATL,0,0,0,0,0
2011-11-15,ATL,0,1,0,0,0
2011-11-16,ATL,0,1,0,1,0
2011-11-17,ATL,0,1,0,0,0
2011-11-18,ATL,0,0,0,0,0
2011-11-19,ATL,0,0,0,0,0
2011-11-20,ATL,0,1,0,0,0
2011-11-21,ATL,1,0,0,0,0
2011-11-22,ATL,0,1,0,1,0
2011-11-23,ATL,0,0,0,0,0
2011-11-24,ATL,0,0,0,0,0
2011-11-25,ATL,0,0,0,0,0
2011-11-26,ATL,0,0,0,0,0
2011-11-27,ATL,0,1,0,0,0
2011-11-28,ATL,0,1,0,0,0
2011-11-29,ATL,0,1,0,0,0
2011-11-30,ATL,0,0,0,0,0
2011-12-01,ATL,0,0,0,0,0
2011-12-02,ATL,0,0,0,0,0
2011-12-03,ATL,0,0,0,0,0
2011-12-04,ATL,0,0,0,0,0
2011-12-05,ATL,0,0,0,0,0
2011-12-06,ATL,0,1,0,0,0
2011-12-07,ATL,0,1,0,0,0
2011-12-08,ATL,0,0,0,0,0
2011-12-09,ATL,0,0,0,0,0
2011-12-10,ATL,0,0,0,0,0
2011-12-11,ATL,0,1,0,0,0
2011-12-12,ATL,0,0,0,0,0
2011-12-13,ATL,0,0,0,0,0
2011-12-14,ATL,0,0,0,0,0
2011-12-15,ATL,0,0,0,0,0
2011-12-16,ATL,0,1,0,0,0
2011-12-17,ATL,0,0,0,0,0
2011-12-18,ATL,0,0,0,0,0
2011-12-19,ATL,0,0,0,0,0
